,aquifer_vulnerability,drainage_class,offset,detected
123,1,1,1.0,-1.0
124,1,1,1.0,-1.0
125,1,1,1.0,-1.0
126,0,1,1.0,1.0
127,0,1,1.0,1.0
128,0,1,1.0,-1.0
129,0,1,1.0,-1.0
130,0,1,1.0,1.0
131,0,1,1.0,-1.0
132,0,1,1.0,1.0
133,0,1,1.0,-1.0
134,0,1,1.0,-1.0
135,0,1,1.0,-1.0
136,0,1,1.0,-1.0
137,0,1,1.0,-1.0
138,0,1,1.0,-1.0
139,0,1,1.0,-1.0
140,0,1,1.0,-1.0
141,0,1,1.0,-1.0
142,1,1,1.0,-1.0
143,1,1,1.0,-1.0
144,1,1,1.0,-1.0
145,1,1,1.0,-1.0
146,0,1,1.0,-1.0
147,0,1,1.0,-1.0
148,0,1,1.0,-1.0
149,0,1,1.0,-1.0
150,0,1,1.0,1.0
151,0,1,1.0,-1.0
152,0,1,1.0,-1.0
153,0,1,1.0,-1.0
154,0,1,1.0,-1.0
155,0,1,1.0,-1.0
156,0,1,1.0,-1.0
157,0,1,1.0,-1.0
158,1,1,1.0,1.0
159,1,1,1.0,1.0
160,1,1,1.0,1.0
161,1,1,1.0,1.0
162,0,1,1.0,1.0
163,1,1,1.0,1.0
164,1,1,1.0,1.0
165,1,1,1.0,1.0
166,1,1,1.0,1.0
167,0,1,1.0,-1.0
168,0,1,1.0,-1.0
169,0,1,1.0,-1.0
170,0,1,1.0,-1.0
171,0,1,1.0,-1.0
172,0,1,1.0,-1.0
173,0,1,1.0,-1.0
174,0,1,1.0,-1.0
175,0,1,1.0,-1.0
176,0,1,1.0,-1.0
177,0,1,1.0,-1.0
178,0,1,1.0,-1.0
179,0,1,1.0,-1.0
180,0,1,1.0,-1.0
181,0,1,1.0,-1.0
182,0,1,1.0,-1.0
183,0,1,1.0,-1.0
184,0,1,1.0,-1.0
185,0,1,1.0,-1.0
186,0,1,1.0,-1.0
187,0,1,1.0,-1.0
188,0,1,1.0,-1.0
189,0,1,1.0,-1.0
190,0,1,1.0,-1.0
191,0,1,1.0,-1.0
192,0,1,1.0,-1.0
193,0,1,1.0,-1.0
194,0,1,1.0,-1.0
195,0,1,1.0,-1.0
196,0,1,1.0,-1.0
197,0,1,1.0,-1.0
198,0,1,1.0,-1.0
199,0,1,1.0,-1.0
200,0,1,1.0,-1.0
201,0,1,1.0,-1.0
202,0,1,1.0,-1.0
203,0,1,1.0,1.0
204,1,1,1.0,1.0
205,0,1,1.0,-1.0
206,0,1,1.0,-1.0
207,0,1,1.0,-1.0
208,0,1,1.0,-1.0
209,0,1,1.0,-1.0
210,0,1,1.0,-1.0
211,0,1,1.0,-1.0
212,0,1,1.0,-1.0
213,0,1,1.0,-1.0
214,0,1,1.0,-1.0
215,0,1,1.0,-1.0
216,0,1,1.0,-1.0
217,1,1,1.0,-1.0
218,1,1,1.0,-1.0
219,1,1,1.0,-1.0
220,1,1,1.0,-1.0
221,1,1,1.0,-1.0
222,1,1,1.0,-1.0
223,1,1,1.0,-1.0
224,1,1,1.0,-1.0
225,1,1,1.0,-1.0
226,1,1,1.0,-1.0
227,1,1,1.0,-1.0
228,1,1,1.0,-1.0
229,1,1,1.0,-1.0
230,1,1,1.0,-1.0
231,1,1,1.0,1.0
232,1,1,1.0,-1.0
233,0,1,1.0,-1.0
234,0,1,1.0,-1.0
235,0,1,1.0,-1.0
236,0,1,1.0,-1.0
237,1,1,1.0,1.0
238,0,1,1.0,-1.0
239,0,1,1.0,-1.0
240,0,1,1.0,-1.0
241,0,1,1.0,-1.0
242,0,1,1.0,-1.0
243,0,1,1.0,-1.0
244,0,1,1.0,-1.0
245,0,1,1.0,-1.0
246,0,1,1.0,-1.0
247,0,1,1.0,-1.0
248,0,1,1.0,-1.0
249,0,1,1.0,-1.0
250,0,1,1.0,-1.0
251,0,1,1.0,-1.0
252,0,1,1.0,-1.0
253,0,1,1.0,-1.0
254,0,1,1.0,-1.0
255,0,1,1.0,-1.0
256,0,1,1.0,-1.0
257,0,1,1.0,-1.0
258,1,1,1.0,-1.0
259,1,1,1.0,-1.0
260,1,1,1.0,-1.0
261,1,1,1.0,-1.0
262,1,1,1.0,-1.0
263,1,1,1.0,-1.0
264,1,1,1.0,-1.0
265,1,1,1.0,-1.0
